text,Media,Link
"Malut United Kalah Beruntun di Kandang, Laskar Kie Raha Diminta Tampil Tanpa Beban Lawan Persik",kompas.com,https://bola.kompas.com/read/2025/01/24/16053928/malut-united-kalah-beruntun-di-kandang-laskar-kie-raha-diminta-tampil-tanpa
"Jadwal Liga Italia Pekan ke-22: Napoli Hadapi Juventus, Lazio Tantang Fiorentina",kompas.com,https://bola.kompas.com/read/2025/01/24/15400548/jadwal-liga-italia-pekan-ke-22-napoli-hadapi-juventus-lazio-tantang-fiorentina
Indonesia Masters 2025: Gregoria Mariska Mundur karena Flu,kompas.com,https://www.kompas.com/badminton/read/2025/01/24/15330778/indonesia-masters-2025-gregoria-mariska-mundur-karena-flu
Prediksi Pemain Timnas U-20 Indonesia Vs Yordania: Siapa Saja yang Masuk Racikan Indra Sjafri?,kompas.com,https://bola.kompas.com/read/2025/01/24/15210878/prediksi-pemain-timnas-u-20-indonesia-vs-yordania-siapa-saja-yang-masuk-racikan
Kapten Timnas Malaysia Tak Terkesima dengan Jersey Baru: Bisa Lebih Bagus,kompas.com,https://bola.kompas.com/read/2025/01/24/14112678/kapten-timnas-malaysia-tak-terkesima-dengan-jersey-baru-bisa-lebih-bagus
Jadwal Pekan Ke-23 Liga Inggris: Ada Big Match Man City Vs Chelsea,kompas.com,https://bola.kompas.com/read/2025/01/24/14044338/jadwal-pekan-ke-23-liga-inggris-ada-big-match-man-city-vs-chelsea
"Lakers Hancurkan Celtics 117-96: LeBron dan Davis Buktikan Dominasi, Boston Terjebak di Kekalahan Terbesar Musim Ini",kompas.com,https://www.kompas.com/sports/read/2025/01/24/13573408/lakers-hancurkan-celtics-117-96-lebron-dan-davis-buktikan-dominasi-boston
Link Live Streaming Timnas U20 Indonesia Vs Yordania,kompas.com,https://bola.kompas.com/read/2025/01/24/13494108/link-live-streaming-timnas-u20-indonesia-vs-yordania
Djokovic Pertimbangkan Pensiun,kompas.com,https://www.kompas.com/sports/read/2025/01/24/13385028/djokovic-pertimbangkan-pensiun
"Cedera, Djokovic Gagal Pecahkan Rekor Gelar Grand Slam",kompas.com,https://www.kompas.com/sports/read/2025/01/24/13295418/cedera-djokovic-gagal-pecahkan-rekor-gelar-grand-slam
"Man United Terancam Langgar FFP, Akibat Gaya Hidup Liga Champions",kompas.com,https://bola.kompas.com/read/2025/01/24/13140398/man-united-terancam-langgar-ffp-akibat-gaya-hidup-liga-champions
Wesley Sneijder Bicara Patrick Kluivert dan Tim Pelatih Timnas Indonesia,kompas.com,https://bola.kompas.com/read/2025/01/24/12363118/wesley-sneijder-bicara-patrick-kluivert-dan-tim-pelatih-timnas-indonesia
"Link Live Streaming Arema FC Vs Persib, Pertarungan Sengit di Liga 1",kompas.com,https://bola.kompas.com/read/2025/01/24/11592238/link-live-streaming-arema-fc-vs-persib-pertarungan-sengit-di-liga-1
"Prediksi Arema FC Vs Persib Bandung, Tujuh Pemain Maung Absen",kompas.com,https://bola.kompas.com/read/2025/01/24/11475238/prediksi-arema-fc-vs-persib-bandung-tujuh-pemain-maung-absen
Vinicius Junior Dihargai Rp 6 Triliun oleh Klub Arab Saudi,kompas.com,https://bola.kompas.com/read/2025/01/24/10000068/vinicius-junior-dihargai-rp-6-triliun-oleh-klub-arab-saudi
Timnas U20 Indonesia Vs Yordania: Tekad Berkembang Kalahkan Kekhawatiran,kompas.com,https://bola.kompas.com/read/2025/01/24/09455358/timnas-u20-indonesia-vs-yordania-tekad-berkembang-kalahkan-kekhawatiran
